Reference area,Source,Sex,Country of destination,Time,Outflow of nationals (thousands)
Armenia,HIES - Households Living Conditions Survey,Total,Total,2010,58.4
Armenia,HIES - Households Living Conditions Survey,Male,Total,2010,55.7
Armenia,HIES - Households Living Conditions Survey,Female,Total,2010,2.8
Armenia,HIES - Households Living Conditions Survey,Total,Total,2011,73.0
Armenia,HIES - Households Living Conditions Survey,Male,Total,2011,70.1
Armenia,HIES - Households Living Conditions Survey,Female,Total,2011,2.9
Armenia,HIES - Households Living Conditions Survey,Total,Total,2012,65.1
Armenia,HIES - Households Living Conditions Survey,Male,Total,2012,62.0
Armenia,HIES - Households Living Conditions Survey,Female,Total,2012,3.1
Armenia,HIES - Households Living Conditions Survey,Total,Total,2013,58.2
Armenia,HIES - Households Living Conditions Survey,Male,Total,2013,55.3
Armenia,HIES - Households Living Conditions Survey,Female,Total,2013,2.9
Armenia,HIES - Households Living Conditions Survey,Total,Total,2014,69.4
Armenia,HIES - Households Living Conditions Survey,Male,Total,2014,66.8
Armenia,HIES - Households Living Conditions Survey,Female,Total,2014,2.7
Armenia,HIES - Households Living Conditions Survey,Total,Total,2015,54.5
Armenia,HIES - Households Living Conditions Survey,Male,Total,2015,51.8
Armenia,HIES - Households Living Conditions Survey,Female,Total,2015,2.7
Armenia,LFS - Household Labour Force Survey,Total,Total,2017,93.8
Armenia,LFS - Household Labour Force Survey,Male,Total,2017,84.3
Armenia,LFS - Household Labour Force Survey,Female,Total,2017,9.5
Armenia,LFS - Household Labour Force Survey,Total,Total,2021,39.3
Armenia,LFS - Household Labour Force Survey,Total,Russian Federation,2021,35.9
Armenia,LFS - Household Labour Force Survey,Total,Other countries,2021,3.5
Armenia,LFS - Household Labour Force Survey,Male,Total,2021,37.0
Armenia,LFS - Household Labour Force Survey,Male,Russian Federation,2021,35.3
Armenia,LFS - Household Labour Force Survey,Male,Other countries,2021,1.7
Armenia,LFS - Household Labour Force Survey,Female,Total,2021,2.3
Armenia,LFS - Household Labour Force Survey,Female,Russian Federation,2021,0.5
Armenia,LFS - Household Labour Force Survey,Female,Other countries,2021,1.8
Austria,OE - Migration estimates,Total,Total,2020,16.9
Austria,OE - Migration estimates,Total,Germany,2020,2.8
Austria,OE - Migration estimates,Total,Switzerland,2020,1.3
Austria,OE - Migration estimates,Total,Türkiye,2020,0.7
Austria,OE - Migration estimates,Total,United Kingdom,2020,0.4
Austria,OE - Migration estimates,Total,United States,2020,0.3
Austria,OE - Migration estimates,Total,Other countries,2020,11.3
Austria,OE - Migration estimates,Male,Total,2020,9.7
Austria,OE - Migration estimates,Male,Germany,2020,1.4
Austria,OE - Migration estimates,Male,Switzerland,2020,0.7
Austria,OE - Migration estimates,Male,Türkiye,2020,0.4
Austria,OE - Migration estimates,Male,United Kingdom,2020,0.2
Austria,OE - Migration estimates,Male,United States,2020,0.2
Austria,OE - Migration estimates,Male,Other countries,2020,6.9
Austria,OE - Migration estimates,Female,Total,2020,7.2
Austria,OE - Migration estimates,Female,Germany,2020,1.4
Austria,OE - Migration estimates,Female,Switzerland,2020,0.6
Austria,OE - Migration estimates,Female,Türkiye,2020,0.3
Austria,OE - Migration estimates,Female,United Kingdom,2020,0.2
Austria,OE - Migration estimates,Female,United States,2020,0.2
Austria,OE - Migration estimates,Female,Other countries,2020,4.4
Austria,OE - Migration estimates,Total,Total,2021,17.1
Austria,OE - Migration estimates,Total,Germany,2021,2.8
Austria,OE - Migration estimates,Total,Switzerland,2021,1.4
Austria,OE - Migration estimates,Total,Türkiye,2021,0.8
Austria,OE - Migration estimates,Total,United Kingdom,2021,0.4
Austria,OE - Migration estimates,Total,United States,2021,0.5
Austria,OE - Migration estimates,Total,Other countries,2021,11.3
Austria,OE - Migration estimates,Male,Total,2021,9.7
Austria,OE - Migration estimates,Male,Germany,2021,1.3
Austria,OE - Migration estimates,Male,Switzerland,2021,0.8
Austria,OE - Migration estimates,Male,Türkiye,2021,0.5
Austria,OE - Migration estimates,Male,United Kingdom,2021,0.2
Austria,OE - Migration estimates,Male,United States,2021,0.3
Austria,OE - Migration estimates,Male,Other countries,2021,6.7
Austria,OE - Migration estimates,Female,Total,2021,7.5
Austria,OE - Migration estimates,Female,Germany,2021,1.5
Austria,OE - Migration estimates,Female,Switzerland,2021,0.6
Austria,OE - Migration estimates,Female,Türkiye,2021,0.4
Austria,OE - Migration estimates,Female,United Kingdom,2021,0.2
Austria,OE - Migration estimates,Female,United States,2021,0.2
Austria,OE - Migration estimates,Female,Other countries,2021,4.6
Azerbaijan,ADM - Administrative records and related sources,Total,Total,2017,1.9
Azerbaijan,ADM - Administrative records and related sources,Male,Total,2017,0.6
Azerbaijan,ADM - Administrative records and related sources,Female,Total,2017,1.3
Azerbaijan,ADM - Administrative records and related sources,Total,Total,2021,0.6
Azerbaijan,ADM - Administrative records and related sources,Total,Georgia,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Total,Kazakhstan,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Total,Russian Federation,2021,0.3
Azerbaijan,ADM - Administrative records and related sources,Total,Türkiye,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Total,Ukraine,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Total,Other countries,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Male,Total,2021,0.3
Azerbaijan,ADM - Administrative records and related sources,Male,Georgia,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Male,Kazakhstan,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Male,Russian Federation,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Male,Türkiye,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Male,Ukraine,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Male,Other countries,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Female,Total,2021,0.3
Azerbaijan,ADM - Administrative records and related sources,Female,Georgia,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Female,Kazakhstan,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Female,Russian Federation,2021,0.1
Azerbaijan,ADM - Administrative records and related sources,Female,Türkiye,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Female,Ukraine,2021,0.0
Azerbaijan,ADM - Administrative records and related sources,Female,Other countries,2021,0.1
Belgium,ADM-PR - Registre National,Total,Total,2017,26.1
Belgium,ADM-PR - Registre National,Male,Total,2017,13.9
Belgium,ADM-PR - Registre National,Female,Total,2017,12.1
Belgium,ADM-PR - Registre National,Total,Total,2018,26.8
Belgium,ADM-PR - Registre National,Total,France,2018,3.5
Belgium,ADM-PR - Registre National,Total,Luxembourg,2018,0.6
Belgium,ADM-PR - Registre National,Total,Netherlands,2018,0.9
Belgium,ADM-PR - Registre National,Total,Spain,2018,1.3
Belgium,ADM-PR - Registre National,Total,United Kingdom,2018,1.1
Belgium,ADM-PR - Registre National,Total,Other countries,2018,19.5
