Country,Year,Value
Australia,1995,87428
Australia,1996,115674
Australia,1997,104551
Australia,1998,90855
Australia,1999,98251
Australia,2000,107148
Australia,2001,127877
Australia,2002,119080
Australia,2003,123411
Australia,2004,146441
Australia,2005,161734
Australia,2006,176205
Australia,2007,189490
Australia,2008,203874
Australia,2009,219400
Australia,2010,202212
Australia,2011,206362
Australia,2012,235993
Australia,2013,244849
Australia,2014,233908
Australia,2015,223654
Australia,2016,218488
Australia,2017,224220
Australia,2018,186640
Australia,2019,155817
Australia,2020,137465
Austria,1996,57100
Austria,1997,56895
Austria,1998,59229
Austria,1999,72379
Austria,2000,65954
Austria,2001,74786
Austria,2002,86144
Austria,2003,93341
Austria,2004,104246
Austria,2005,97995
Austria,2006,82899
Austria,2007,91546
Austria,2008,94368
Austria,2009,91660
Austria,2010,96896
Austria,2011,109921
Austria,2012,125605
Austria,2013,135228
Austria,2014,154260
Austria,2015,198658
Austria,2016,158746
Austria,2017,139329
Austria,2018,131724
Austria,2019,134966
Austria,2020,121311
Belgium,1995,53138
Belgium,1996,51884
Belgium,1997,49240
Belgium,1998,50693
Belgium,1999,57784
Belgium,2000,57295
Belgium,2001,65974
Belgium,2002,70230
Belgium,2003,68800
Belgium,2004,72446
Belgium,2005,77411
Belgium,2006,83433
Belgium,2007,93387
Belgium,2008,106012
Belgium,2009,102714
Belgium,2010,116724
Belgium,2011,133587
Belgium,2012,116055
Belgium,2013,105529
Belgium,2014,106345
Belgium,2015,128762
Belgium,2016,106087
Belgium,2017,109167
Belgium,2018,119663
Belgium,2019,129450
Belgium,2020,101553
Canada,1995,212871
Canada,1996,226071
Canada,1997,216038
Canada,1998,174198
Canada,1999,189952
Canada,2000,227455
Canada,2001,250640
Canada,2002,228919
Canada,2003,221349
Canada,2004,235822
Canada,2005,262244
Canada,2006,251641
Canada,2007,236751
Canada,2008,247242
Canada,2009,252170
Canada,2010,280686
Canada,2011,248701
Canada,2012,257763
Canada,2013,259034
Canada,2014,260283
Canada,2015,271808
Canada,2016,296740
Canada,2017,286447
Canada,2018,321042
Canada,2019,341175
Canada,2020,184585
Chile,2000,18741
Chile,2001,28924
Chile,2002,29942
Chile,2003,29835
Chile,2004,32099
Chile,2005,40793
Chile,2006,37035
Chile,2007,53071
Chile,2008,43577
Chile,2009,35892
Chile,2010,41431
Chile,2011,50651
Chile,2012,65247
Chile,2013,84352
Chile,2014,83549
Chile,2015,101911
Chile,2016,135490
Chile,2017,207200
Chile,2018,339350
Chile,2019,254080
Chile,2020,154551
Colombia,2015,5700
Colombia,2016,8300
Colombia,2017,104459
Colombia,2018,217858
Colombia,2019,225817
Colombia,2020,74801
Costa Rica,2015,15698
Costa Rica,2016,6580
Costa Rica,2017,8561
Costa Rica,2018,9162
Costa Rica,2019,7757
Czech Republic,1995,5903
Czech Republic,1996,7408
Czech Republic,1997,9949
Czech Republic,1998,7943
Czech Republic,1999,6810
Czech Republic,2000,4227
Czech Republic,2001,11323
Czech Republic,2002,43648
Czech Republic,2003,57438
Czech Republic,2004,50804
Czech Republic,2005,58576
Czech Republic,2006,66125
Czech Republic,2007,102511
Czech Republic,2008,76151
Czech Republic,2009,38199
Czech Republic,2010,28046
Czech Republic,2011,20673
Czech Republic,2012,28607
Czech Republic,2013,27843
Czech Republic,2014,38490
Czech Republic,2015,31589
Czech Republic,2016,34808
