Reference area,Source,Sex,Place of birth,Time,Total,15-24,25-54,55-64,65+
Afghanistan,HIES - Households Living Conditions Survey,Total,Total,2014,14702.6,5616.0,7316.2,1049.9,720.3
Afghanistan,HIES - Households Living Conditions Survey,Total,Native-born,2014,14353.4,5357.9,7227.0,1049.2,719.3
Afghanistan,HIES - Households Living Conditions Survey,Total,Foreign-born,2014,310.0,231.1,78.9,0.0,0.0
Afghanistan,HIES - Households Living Conditions Survey,Total,Status unknown,2014,39.1,27.1,10.4,0.0,1.0
Afghanistan,HIES - Households Living Conditions Survey,Male,Total,2014,7435.8,2839.9,3566.9,572.7,456.3
Afghanistan,HIES - Households Living Conditions Survey,Male,Native-born,2014,7247.5,2702.7,3516.4,572.3,456.1
Afghanistan,HIES - Households Living Conditions Survey,Male,Foreign-born,2014,172.1,127.5,44.6,0.0,0.0
Afghanistan,HIES - Households Living Conditions Survey,Male,Status unknown,2014,16.1,9.6,5.8,0.0,0.0
Afghanistan,HIES - Households Living Conditions Survey,Female,Total,2014,7266.8,2776.2,3749.4,477.2,264.0
Afghanistan,HIES - Households Living Conditions Survey,Female,Native-born,2014,7105.9,2655.2,3710.5,476.9,263.3
Afghanistan,HIES - Households Living Conditions Survey,Female,Foreign-born,2014,137.9,103.6,34.3,0.0,0.0
Afghanistan,HIES - Households Living Conditions Survey,Female,Status unknown,2014,23.0,17.4,4.5,0.0,0.7
Albania,HIES - Living Standards Measurement Survey,Total,Total,2012,2311.7,515.2,1129.3,334.9,332.3
Albania,HIES - Living Standards Measurement Survey,Total,Native-born,2012,2308.3,514.4,1128.4,334.5,331.0
Albania,HIES - Living Standards Measurement Survey,Total,Foreign-born,2012,3.4,0.8,0.9,0.0,1.3
Albania,HIES - Living Standards Measurement Survey,Male,Total,2012,1142.1,262.9,547.1,169.6,162.5
Albania,HIES - Living Standards Measurement Survey,Male,Native-born,2012,1140.1,262.3,546.6,169.2,162.0
Albania,HIES - Living Standards Measurement Survey,Male,Foreign-born,2012,2.0,0.6,0.0,0.0,0.5
Albania,HIES - Living Standards Measurement Survey,Female,Total,2012,1169.5,252.3,582.2,165.3,169.8
Albania,HIES - Living Standards Measurement Survey,Female,Native-born,2012,1168.2,252.2,581.8,165.3,169.0
Albania,HIES - Living Standards Measurement Survey,Female,Foreign-born,2012,1.3,0.0,0.0,0.0,0.8
Angola,LFS - Employment Survey,Total,Total,2019,16303.7,5845.5,8555.0,1160.9,742.3
Angola,LFS - Employment Survey,Total,Native-born,2019,16124.1,5807.9,8426.4,1151.7,738.2
Angola,LFS - Employment Survey,Total,Foreign-born,2019,162.0,34.4,115.9,8.1,3.5
Angola,LFS - Employment Survey,Total,Status unknown,2019,17.5,3.2,12.7,1.1,0.0
Angola,LFS - Employment Survey,Male,Total,2019,7797.9,2858.3,4045.5,568.9,325.2
Angola,LFS - Employment Survey,Male,Native-born,2019,7703.1,2843.4,3971.4,565.2,323.2
Angola,LFS - Employment Survey,Male,Foreign-born,2019,83.2,12.3,65.7,3.4,1.7
Angola,LFS - Employment Survey,Male,Status unknown,2019,11.6,2.7,8.4,0.3,0.0
Angola,LFS - Employment Survey,Female,Total,2019,8505.7,2987.1,4509.5,592.0,417.1
Angola,LFS - Employment Survey,Female,Native-born,2019,8421.0,2964.5,4455.0,586.5,414.9
Angola,LFS - Employment Survey,Female,Foreign-born,2019,78.8,22.1,50.2,4.7,1.8
Angola,LFS - Employment Survey,Female,Status unknown,2019,5.9,0.0,4.3,0.7,0.0
Angola,LFS - Employment Survey,Total,Total,2021,17274.5,6230.5,9033.1,1229.4,781.6
Angola,LFS - Employment Survey,Total,Native-born,2021,17107.0,6200.5,8905.2,1222.3,779.0
Angola,LFS - Employment Survey,Total,Foreign-born,2021,167.5,29.9,127.9,7.1,2.6
Angola,LFS - Employment Survey,Male,Total,2021,8279.7,3056.6,4289.5,591.0,342.5
Angola,LFS - Employment Survey,Male,Native-born,2021,8182.3,3040.1,4217.6,584.4,340.2
Angola,LFS - Employment Survey,Male,Foreign-born,2021,97.4,16.6,71.9,6.6,2.3
Angola,LFS - Employment Survey,Female,Total,2021,8994.9,3173.9,4743.6,638.4,439.0
Angola,LFS - Employment Survey,Female,Native-born,2021,8924.7,3160.5,4687.6,637.8,438.8
Angola,LFS - Employment Survey,Female,Foreign-born,2021,70.2,13.4,56.0,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2011,19123.1,4248.3,9946.7,2252.4,2675.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2011,17981.4,4130.6,9412.7,2065.2,2372.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2011,1127.2,114.7,526.4,185.0,301.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2011,14.5,3.1,7.6,2.2,1.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2011,9062.5,2137.5,4831.4,1037.7,1055.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2011,8578.3,2082.7,4596.3,957.8,941.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2011,475.2,52.4,230.5,78.9,113.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2011,9.0,2.4,4.7,1.1,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2011,10060.6,2110.8,5115.3,1214.7,1619.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2011,9403.1,2047.9,4816.4,1107.5,1431.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2011,652.1,62.3,295.9,106.1,187.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2011,5.5,0.7,3.0,1.1,0.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2012,19361.6,4332.2,10005.4,2298.5,2725.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2012,18171.6,4199.9,9431.0,2110.0,2430.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2012,1179.4,131.2,568.2,188.0,292.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2012,10.5,1.1,6.1,0.5,2.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2012,9141.3,2180.6,4822.3,1049.1,1089.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2012,8619.1,2115.6,4563.5,968.9,971.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2012,517.7,64.3,255.5,80.1,117.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2012,4.6,0.0,3.3,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2012,10220.2,2151.6,5183.0,1249.4,1636.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2012,9552.5,2084.3,4867.5,1141.1,1459.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2012,661.8,66.9,312.7,107.9,174.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2012,5.9,0.0,2.9,0.0,2.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2013,19644.2,4387.8,10136.3,2346.8,2773.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2013,18415.0,4262.4,9548.2,2150.8,2453.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2013,1213.1,122.9,577.9,195.4,317.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2013,16.1,2.5,10.2,0.0,2.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2013,9289.5,2247.4,4864.0,1059.2,1118.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2013,8740.5,2183.9,4593.4,984.3,978.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2013,541.7,62.2,266.1,74.7,138.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2013,7.3,1.3,4.5,0.0,1.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2013,10354.7,2140.3,5272.3,1287.6,1654.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2013,9674.6,2078.5,4954.8,1166.4,1474.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2013,671.4,60.6,311.7,120.6,178.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2013,8.8,0.0,5.7,0.0,1.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2014,20040.9,4600.5,10338.2,2367.3,2734.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2014,18860.8,4462.8,9729.9,2219.0,2449.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2014,1165.9,133.8,601.3,147.0,283.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2014,14.1,3.9,7.0,1.3,2.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2014,9502.5,2374.4,4931.4,1081.3,1115.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2014,8958.3,2302.9,4646.7,1015.9,992.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2014,535.6,69.0,280.0,64.9,121.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2014,8.5,2.4,4.7,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2014,10538.5,2226.1,5406.8,1286.0,1619.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2014,9902.5,2159.9,5083.2,1203.1,1456.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2014,630.3,64.8,321.3,82.1,162.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2014,5.6,1.5,2.3,0.0,1.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2017,21462.7,4653.1,10505.6,2714.4,3589.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2017,20172.3,4549.1,9876.9,2538.6,3207.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2017,1281.5,102.3,623.5,174.6,381.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2017,8.8,1.7,5.3,1.2,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2017,10116.1,2348.7,5049.1,1234.6,1483.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2017,9543.6,2294.1,4765.4,1159.1,1325.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2017,567.7,53.2,280.8,74.9,158.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2017,4.7,0.0,2.8,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2017,11346.6,2304.4,5456.5,1479.9,2105.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2017,10628.7,2254.9,5111.4,1379.5,1882.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2017,713.9,49.1,342.7,99.7,222.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2017,4.0,0.0,2.4,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2018,21709.2,4589.5,10715.7,2713.2,3690.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2018,20263.3,4439.3,10006.0,2516.4,3301.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2018,1435.0,147.0,705.5,194.9,387.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2018,10.9,3.1,4.2,1.8,1.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2018,10178.1,2285.6,5148.8,1213.4,1530.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2018,9519.7,2203.1,4823.9,1129.4,1363.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2018,653.3,80.8,322.6,83.8,166.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2018,5.0,1.7,2.3,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2018,11531.1,2303.9,5566.9,1499.8,2160.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2018,10743.5,2236.3,5182.2,1387.0,1938.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2018,781.6,66.1,382.9,111.2,221.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2018,5.9,1.5,1.9,0.0,0.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2019,22152.8,4512.8,11108.5,2785.3,3746.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2019,20713.3,4363.2,10364.6,2596.8,3388.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2019,1428.1,147.3,737.8,186.9,356.1
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2019,11.5,2.2,6.1,1.6,1.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2019,10481.3,2289.4,5387.0,1263.3,1541.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2019,9829.6,2210.8,5042.2,1187.3,1389.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2019,645.5,77.4,340.9,75.5,151.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2019,6.2,0.0,3.8,0.0,0.0
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2019,11671.5,2223.4,5721.6,1522.0,2204.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Native-born,2019,10883.7,2152.5,5322.4,1409.5,1999.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Foreign-born,2019,782.5,69.9,396.8,111.4,204.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Status unknown,2019,5.2,0.0,2.3,0.0,0.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2020,22048.6,4625.4,11361.2,2711.3,3350.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Native-born,2020,20706.3,4486.5,10639.5,2521.0,3059.3
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Foreign-born,2020,1330.0,138.3,716.2,187.7,287.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Status unknown,2020,12.3,0.6,5.5,2.6,3.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Total,2020,10383.1,2328.2,5423.3,1233.1,1398.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Native-born,2020,9761.7,2242.7,5100.8,1155.5,1262.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Foreign-born,2020,616.1,85.5,319.5,76.9,134.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,Status unknown,2020,5.3,0.0,3.0,0.0,1.5
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,Total,2020,11665.5,2297.2,5937.9,1478.2,1952.2
