Reference area,Source,Sex,Place of birth,Time,Total,15-24,25-54,55-64,65+
Afghanistan,HIES - Households Living Conditions Survey,Total,Total,2014,14702.6,5616.0,7316.2,1049.9,720.3
Albania,HIES - Living Standards Measurement Survey,Total,Total,2012,2311.7,515.2,1129.3,334.9,332.3
Angola,LFS - Employment Survey,Total,Total,2019,16303.7,5845.5,8555.0,1160.9,742.3
Angola,LFS - Employment Survey,Total,Total,2021,17274.5,6230.5,9033.1,1229.4,781.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2011,19123.1,4248.3,9946.7,2252.4,2675.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2012,19361.6,4332.2,10005.4,2298.5,2725.4
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2013,19644.2,4387.8,10136.3,2346.8,2773.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2014,20040.9,4600.5,10338.2,2367.3,2734.9
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2017,21462.7,4653.1,10505.6,2714.4,3589.6
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2018,21709.2,4589.5,10715.7,2713.2,3690.8
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2019,22152.8,4512.8,11108.5,2785.3,3746.2
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2020,22048.6,4625.4,11361.2,2711.3,3350.7
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2021,22223.2,4556.7,11549.6,2679.9,3437.1
Armenia,LFS - Household Labour Force Survey,Total,Total,2016,2011.4,358.8,1061.7,389.6,201.2
Armenia,LFS - Household Labour Force Survey,Total,Total,2017,2021.3,344.7,1074.5,396.3,205.8
Armenia,LFS - Household Labour Force Survey,Total,Total,2018,2206.1,381.1,1196.1,447.3,181.7
Armenia,LFS - Household Labour Force Survey,Total,Total,2019,2204.4,351.8,1201.5,449.7,201.4
Armenia,LFS - Household Labour Force Survey,Total,Total,2020,2336.5,341.6,1162.9,463.6,368.3
Armenia,LFS - Household Labour Force Survey,Total,Total,2021,2364.6,342.3,1144.2,480.7,397.5
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2011,17641.9,2969.5,9236.4,2541.1,2894.8
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2012,17955.3,3006.7,9380.5,2552.7,3015.3
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2013,18257.5,3013.1,9517.8,2593.7,3132.9
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2014,18529.5,3058.4,9584.9,2664.8,3221.4
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2015,18803.9,3053.9,9712.7,2698.0,3339.4
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2016,19119.5,3088.5,9830.8,2749.8,3450.4
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2017,19448.4,3118.8,9956.6,2804.3,3568.8
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2018,19775.9,3149.8,10095.4,2841.1,3689.6
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2019,20100.4,3159.3,10230.2,2911.8,3799.1
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2020,20289.8,3076.9,10305.1,2956.5,3951.4
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,Total,2021,20328.0,3015.2,10297.5,2938.7,4076.5
Austria,LFS - Labour Force Survey,Total,Total,2011,7044.2,1003.5,3641.9,980.1,1418.7
Austria,LFS - Labour Force Survey,Total,Total,2012,7087.2,1003.0,3643.0,996.2,1445.0
Austria,LFS - Labour Force Survey,Total,Total,2013,7137.5,1000.9,3651.7,1010.6,1474.3
Austria,LFS - Labour Force Survey,Total,Total,2014,7200.0,996.4,3669.5,1030.3,1503.8
Austria,LFS - Labour Force Survey,Total,Total,2015,7266.9,994.2,3687.4,1059.7,1525.7
Austria,LFS - Labour Force Survey,Total,Total,2016,7353.3,999.6,3713.6,1094.2,1545.9
Austria,LFS - Labour Force Survey,Total,Total,2017,7387.3,978.7,3709.6,1134.4,1564.6
Austria,LFS - Labour Force Survey,Total,Total,2018,7414.8,954.2,3697.2,1175.6,1587.8
Austria,LFS - Labour Force Survey,Total,Total,2019,7449.2,934.7,3686.1,1217.4,1611.1
Austria,LFS - Labour Force Survey,Total,Total,2020,7490.6,925.5,3675.9,1254.1,1635.1
Austria,LFS - Labour Force Survey,Total,Total,2021,7527.6,916.9,3664.0,1286.9,1659.8
Austria,LFS - Labour Force Survey,Total,Total,2022,7601.6,921.0,3674.1,1314.8,1691.7
Bahrain,OE - Estimates of Central informatics organization,Total,Total,2011,945.0,0.0,0.0,0.0,0.0
Bahrain,OE - Estimates of Central informatics organization,Total,Total,2012,971.7,0.0,0.0,0.0,0.0
Bahrain,OE - Estimates of Central informatics organization,Total,Total,2013,1009.5,0.0,0.0,0.0,0.0
Bahrain,OE - Estimates of Central informatics organization,Total,Total,2014,1045.0,0.0,0.0,0.0,0.0
Bangladesh,LFS - Labour Force Survey,Total,Total,2017,109053.6,27441.6,63191.7,10505.0,7915.2
Barbados,HIES - Survey on Living Conditions,Total,Total,2016,170.4,28.0,80.8,28.4,33.2
Belgium,LFS - EU Labour Force Survey,Total,Total,2011,9128.0,1322.5,4537.8,1359.3,1908.4
Belgium,LFS - EU Labour Force Survey,Total,Total,2012,9188.8,1326.1,4545.8,1370.0,1946.8
Belgium,LFS - EU Labour Force Survey,Total,Total,2013,9236.7,1325.5,4546.3,1385.3,1979.7
Belgium,LFS - EU Labour Force Survey,Total,Total,2014,9282.8,1320.7,4540.2,1404.7,2017.3
Belgium,LFS - EU Labour Force Survey,Total,Total,2015,9329.4,1316.7,4538.4,1425.7,2048.6
Belgium,LFS - EU Labour Force Survey,Total,Total,2016,9369.3,1307.2,4534.5,1447.8,2079.8
Belgium,LFS - EU Labour Force Survey,Total,Total,2017,9271.6,1292.5,4513.8,1459.5,2005.9
Belgium,LFS - EU Labour Force Survey,Total,Total,2018,9330.3,1290.2,4518.1,1480.3,2041.8
Belgium,LFS - EU Labour Force Survey,Total,Total,2019,9387.1,1291.6,4511.3,1504.0,2080.2
